GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
6578	1.01e-06	2.24e-07	0.3434	5.178509	1.7785487	32.84	SLCO2A1	solute carrier organic anion transporter family member 2A1
8808	0.0261	0.0118	0.706	2.516656	1.776815	7.51	IL1RL2	interleukin 1 receptor like 2
79192	1.21e-07	2.44e-08	0.3169	5.577789	1.7673605	36.46	IRX1	iroquois homeobox 1
2719	0.00492	0.00187	0.5673	3.11041	1.7645388	11.54	GPC3	glypican 3
93986	2e-10	3.06e-11	0.2652	6.643561	1.7615534	60.56	FOXP2	forkhead box P2
7681	0.0101	0.00413	0.6121	2.868042	1.7556026	10.22	MKRN3	makorin ring finger protein 3
89886	2.71e-10	4.21e-11	0.2643	6.596407	1.7435464	54.29	SLAMF9	SLAM family member 9
4053	1.79e-45	6.3e-47	0.1211	14.38639	1.7414908	8011.72	LTBP2	latent transforming growth factor beta binding protein 2
115908	2.61e-148	1.23e-150	0.0665	26.141568	1.7395496	1346.33	CTHRC1	collagen triple helix repeat containing 1
1958	4.31e-251	8.06e-254	0.0511	34.029852	1.7378656	6629.48	EGR1	early growth response 1
81706	9.63e-07	2.12e-07	0.3343	5.188791	1.7347667	33.02	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C
